a,network_clustering_coefficient
10,0.0
10,0.0
10,0.017199161949161948
0,0.1329878062834971
100,0.04194799644799645
0,0.09423344850547366
0,1.0
0,0.8333333333333333
0,0.39999999999999997
0,0.39999999999999997
0,0.8
0,0.04362032912201664
0,0.049336831679244415
0,0.06406227416376006
100,0.010190765374975902
100,0.012638895023105551
100,0.00842309063485534
100,0.020078864490629195
100,0.018677904883787236
0,0.07910631750144134
300,0,0.051723468123988446
